Марка;Ссылка;Цена в $;Город
 Jeep Grand Cherokee 2019;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1834871.html;   49 900 $   ;Киев
 Jeep Grand Cherokee 2019;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1836192.html;   63 093 $   ;Киев
 Jeep Renegade 2019;https://auto.ria.com/newauto/auto-jeep-renegade-1835986.html;   32 500 $   ;Харьков
 Jeep Grand Cherokee 2018;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1810712.html;   55 000 $   ;Харьков
 Jeep Grand Cherokee 2018;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1726792.html;   58 000 $   ;Харьков
 Jeep Compass 2019;https://auto.ria.com/newauto/auto-jeep-compass-1817761.html;   36 800 $   ;Харьков
 Jeep Compass 2019;https://auto.ria.com/newauto/auto-jeep-compass-1810690.html;   36 800 $   ;Одесса
 Jeep Grand Cherokee 2019;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1811781.html;   63 000 $   ;Одесса
 Jeep Wrangler 2018;https://auto.ria.com/newauto/auto-jeep-wrangler-1810694.html;   55 700 $   ;Одесса
 Jeep Grand Cherokee 2018;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1810691.html;   55 000 $   ;Одесса
 Jeep Renegade 2019;https://auto.ria.com/newauto/auto-jeep-renegade-1810689.html;   32 500 $   ;Одесса
 Jeep Grand Cherokee 2020;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1830701.html;   49 500 $   ;Киев
 Jeep Grand Cherokee 2020;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1834294.html;   54 999 $   ;Киев
 Jeep Grand Cherokee 2020;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1834293.html;   54 999 $   ;Киев
 Jeep Gladiator 2020;https://auto.ria.com/newauto/auto-jeep-gladiator-1821388.html;   69 900 $   ;Киев
 Jeep Wrangler 2020;https://auto.ria.com/newauto/auto-jeep-wrangler-1117665.html;   68 000 $   ;Киев
 Jeep Compass 2019;https://auto.ria.com/newauto/auto-jeep-compass-1829810.html;   39 000 $   ;Львов
 Jeep Grand Cherokee 2020;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1166274.html;   125 300 $   ;Киев
 Jeep Grand Cherokee 2019;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1829808.html;   62 500 $   ;Львов
 Jeep Renegade 2019;https://auto.ria.com/newauto/auto-jeep-renegade-1636832.html;   43 800 $   ;Киев
 Jeep Wrangler 2020;https://auto.ria.com/newauto/auto-jeep-wrangler-1830576.html;   66 900 $   ;Киев
 Jeep Compass 2019;https://auto.ria.com/newauto/auto-jeep-compass-1816849.html;   33 500 $   ;Киев
 Jeep Compass 2019;https://auto.ria.com/newauto/auto-jeep-compass-1829806.html;   34 000 $   ;Львов
 Jeep Wrangler 2020;https://auto.ria.com/newauto/auto-jeep-wrangler-994054.html;   77 750 $   ;Киев
 Jeep Wrangler 2020;https://auto.ria.com/newauto/auto-jeep-wrangler-1718241.html;   69 900 $   ;Киев
 Jeep Grand Cherokee 2020;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1686687.html;   158 800 $   ;Киев
 Jeep Compass 2020;https://auto.ria.com/newauto/auto-jeep-compass-1816851.html;   33 700 $   ;Киев
 Jeep Wrangler 2020;https://auto.ria.com/newauto/auto-jeep-wrangler-1637873.html;   67 500 $   ;Киев
 Jeep Wrangler 2020;https://auto.ria.com/newauto/auto-jeep-wrangler-1637870.html;   79 000 $   ;Киев
 Jeep Grand Cherokee 2019;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1829809.html;   62 500 $   ;Львов
 Jeep Wrangler 2020;https://auto.ria.com/newauto/auto-jeep-wrangler-1718241.html;   69 900 $   ;Киев
